Date,State,Total,Category,Sales
2023-01-29,Connecticut,81503817.9,Beverages,81503817.9
2023-01-30,Connecticut,82276728.61666667,,82276728.61666667
2023-01-31,Connecticut,83049639.33333334,,83049639.33333334
2023-02-01,Connecticut,83822550.05000001,,83822550.05000001
2023-02-02,Connecticut,84595460.76666667,,84595460.76666667
2023-02-03,Connecticut,85368371.48333333,,85368371.48333333
2023-02-04,Connecticut,86141282.2,Beverages,86141282.2
2023-02-05,Connecticut,85821307.62,,85821307.62
2023-02-06,Connecticut,85501333.04,,85501333.04
2023-02-07,Connecticut,85181358.46000001,,85181358.46000001
2023-02-08,Connecticut,84861383.88,,84861383.88
2023-02-09,Connecticut,84541409.3,,84541409.3
2023-02-10,Connecticut,84221434.72,,84221434.72
2023-02-11,Connecticut,83901460.14,,83901460.14
2023-02-12,Connecticut,83581485.56,,83581485.56
2023-02-13,Connecticut,83261510.98,,83261510.98
2023-02-14,Connecticut,82941536.4,,82941536.4
2023-02-15,Connecticut,82621561.82000001,,82621561.82000001
2023-02-16,Connecticut,82301587.24,,82301587.24
2023-02-17,Connecticut,81981612.66,,81981612.66
2023-02-18,Connecticut,81661638.08,,81661638.08
2023-02-19,Connecticut,81341663.5,Beverages,81341663.5
2023-02-20,Connecticut,81460405.4,,81460405.4
2023-02-21,Connecticut,81579147.3,,81579147.3
2023-02-22,Connecticut,81697889.2,,81697889.2
2023-02-23,Connecticut,81816631.1,,81816631.1
2023-02-24,Connecticut,81935373.0,,81935373.0
2023-02-25,Connecticut,82054114.89999999,,82054114.89999999
2023-02-26,Connecticut,82172856.8,Beverages,82172856.8
2023-02-27,Connecticut,82603552.9095238,,82603552.9095238
2023-02-28,Connecticut,83034249.01904762,,83034249.01904762
2023-03-01,Connecticut,83464945.12857142,,83464945.12857142
2023-03-02,Connecticut,83895641.23809524,,83895641.23809524
2023-03-03,Connecticut,84326337.34761904,,84326337.34761904
2023-03-04,Connecticut,84757033.45714286,,84757033.45714286
2023-03-05,Connecticut,85187729.56666666,,85187729.56666666
